filename	hdu	keyword	value
c4d_150217_013754_ori.fits.fz	0	OBJECT	Blind15A_21
c4d_150217_013947_ori.fits.fz	0	OBJECT	Blind15A_22
c4d_150217_014139_ori.fits.fz	0	OBJECT	Blind15A_23
c4d_150217_014341_ori.fits.fz	0	OBJECT	Blind15A_24
c4d_150217_014533_ori.fits.fz	0	OBJECT	Blind15A_25
c4d_150217_014745_ori.fits.fz	0	OBJECT	Blind15A_26
c4d_150217_014932_ori.fits.fz	0	OBJECT	Blind15A_27
c4d_150217_015126_ori.fits.fz	0	OBJECT	Blind15A_28
c4d_150217_015320_ori.fits.fz	0	OBJECT	Blind15A_29
c4d_150217_015517_ori.fits.fz	0	OBJECT	Blind15A_30
c4d_150217_015716_ori.fits.fz	0	OBJECT	Blind15A_31
c4d_150217_015910_ori.fits.fz	0	OBJECT	Blind15A_32
c4d_150217_020107_ori.fits.fz	0	OBJECT	Blind15A_33
c4d_150217_020259_ori.fits.fz	0	OBJECT	Blind15A_34
c4d_150217_020455_ori.fits.fz	0	OBJECT	Blind15A_35
c4d_150217_020703_ori.fits.fz	0	OBJECT	Blind15A_36
c4d_150217_020856_ori.fits.fz	0	OBJECT	Blind15A_37
c4d_150217_021051_ori.fits.fz	0	OBJECT	Blind15A_38
c4d_150217_021247_ori.fits.fz	0	OBJECT	Blind15A_39
c4d_150217_021441_ori.fits.fz	0	OBJECT	Blind15A_40
c4d_150217_021643_ori.fits.fz	0	OBJECT	Blind15A_41
c4d_150217_021832_ori.fits.fz	0	OBJECT	Blind15A_42
c4d_150217_022028_ori.fits.fz	0	OBJECT	Blind15A_43
c4d_150217_022225_ori.fits.fz	0	OBJECT	Blind15A_44
c4d_150217_022417_ori.fits.fz	0	OBJECT	Blind15A_45
c4d_150217_022620_ori.fits.fz	0	OBJECT	Blind15A_46
c4d_150217_022814_ori.fits.fz	0	OBJECT	Blind15A_47
c4d_150217_023005_ori.fits.fz	0	OBJECT	Blind15A_48
c4d_150217_023206_ori.fits.fz	0	OBJECT	Blind15A_49
c4d_150217_023401_ori.fits.fz	0	OBJECT	Blind15A_50
c4d_150217_023647_ori.fits.fz	0	OBJECT	Blind15A_01
c4d_150217_023837_ori.fits.fz	0	OBJECT	Blind15A_02
c4d_150217_024034_ori.fits.fz	0	OBJECT	Blind15A_03
c4d_150217_024224_ori.fits.fz	0	OBJECT	Blind15A_04
c4d_150217_024420_ori.fits.fz	0	OBJECT	Blind15A_05
c4d_150217_024619_ori.fits.fz	0	OBJECT	Blind15A_06
c4d_150217_024812_ori.fits.fz	0	OBJECT	Blind15A_07
c4d_150217_025008_ori.fits.fz	0	OBJECT	Blind15A_08
c4d_150217_025207_ori.fits.fz	0	OBJECT	Blind15A_09
c4d_150217_025400_ori.fits.fz	0	OBJECT	Blind15A_10
c4d_150217_025554_ori.fits.fz	0	OBJECT	Blind15A_11
c4d_150217_025752_ori.fits.fz	0	OBJECT	Blind15A_12
c4d_150217_025947_ori.fits.fz	0	OBJECT	Blind15A_13
c4d_150217_030140_ori.fits.fz	0	OBJECT	Blind15A_14
c4d_150217_030338_ori.fits.fz	0	OBJECT	Blind15A_15
c4d_150217_030534_ori.fits.fz	0	OBJECT	Blind15A_16
c4d_150217_030730_ori.fits.fz	0	OBJECT	Blind15A_17
c4d_150217_030925_ori.fits.fz	0	OBJECT	Blind15A_18
c4d_150217_031123_ori.fits.fz	0	OBJECT	Blind15A_19
c4d_150217_031316_ori.fits.fz	0	OBJECT	Blind15A_20
c4d_150217_031514_ori.fits.fz	0	OBJECT	Blind15A_21
c4d_150217_031707_ori.fits.fz	0	OBJECT	Blind15A_22
c4d_150217_031904_ori.fits.fz	0	OBJECT	Blind15A_23
c4d_150217_032056_ori.fits.fz	0	OBJECT	Blind15A_24
c4d_150217_032252_ori.fits.fz	0	OBJECT	Blind15A_25
c4d_150217_032450_ori.fits.fz	0	OBJECT	Blind15A_26
c4d_150217_032645_ori.fits.fz	0	OBJECT	Blind15A_27
c4d_150217_032841_ori.fits.fz	0	OBJECT	Blind15A_28
c4d_150217_033036_ori.fits.fz	0	OBJECT	Blind15A_29
c4d_150217_033231_ori.fits.fz	0	OBJECT	Blind15A_30
c4d_150217_033435_ori.fits.fz	0	OBJECT	Blind15A_31
c4d_150217_033623_ori.fits.fz	0	OBJECT	Blind15A_32
c4d_150217_033819_ori.fits.fz	0	OBJECT	Blind15A_33
c4d_150217_034024_ori.fits.fz	0	OBJECT	Blind15A_34
c4d_150217_034208_ori.fits.fz	0	OBJECT	Blind15A_35
c4d_150217_034410_ori.fits.fz	0	OBJECT	Blind15A_36
c4d_150217_034601_ori.fits.fz	0	OBJECT	Blind15A_37
c4d_150217_034755_ori.fits.fz	0	OBJECT	Blind15A_38
c4d_150217_034952_ori.fits.fz	0	OBJECT	Blind15A_39
c4d_150217_035146_ori.fits.fz	0	OBJECT	Blind15A_40
c4d_150217_035345_ori.fits.fz	0	OBJECT	Blind15A_41
